"id","feat_1","feat_2","feat_3","feat_4","feat_5","feat_6","feat_7","feat_8","feat_9","feat_10","feat_11","feat_12","feat_13","feat_14","feat_15","feat_16","feat_17","feat_18","feat_19","feat_20","feat_21","feat_22","feat_23","feat_24","feat_25","feat_26","feat_27","feat_28","feat_29","feat_30","feat_31","feat_32","feat_33","feat_34","feat_35","feat_36","feat_37","feat_38","feat_39","feat_40","feat_41","feat_42","feat_43","feat_44","feat_45","feat_46","feat_47","feat_48","feat_49","feat_50","feat_51","feat_52","feat_53","feat_54","feat_55","feat_56","feat_57","feat_58","feat_59","feat_60","feat_61","feat_62","feat_63","feat_64","feat_65","feat_66","feat_67","feat_68","feat_69","feat_70","feat_71","feat_72","feat_73","feat_74","feat_75","feat_76","feat_77","feat_78","feat_79","feat_80","feat_81","feat_82","feat_83","feat_84","feat_85","feat_86","feat_87","feat_88","feat_89","feat_90","feat_91","feat_92","feat_93"
11,1,0,0,1,0,0,1,1,0,0,0,6,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,8,0,14,0,0,0,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0
13,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,13,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,1,7,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
14,2,1,0,0,8,0,0,1,0,0,0,0,0,0,6,0,0,0,0,2,3,0,0,2,0,0,0,2,0,0,1,5,0,0,0,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,1,13,0,1,0,0,8,1,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,2,0,5,0
15,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,8,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,1
18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,5,4,0,6,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
20,0,0,1,0,7,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,3,0,0,2,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,0,14,0,2,0,1,8,1,0,0,12,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,3,7,1,7,1,0,0,0,1,0,25,0,2,0,0,1,2,4,5,0,0,0,2,2,0,0,2,0,0,0,0,0,1,4,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0
22,0,1,0,0,8,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
24,4,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,1,1,1,0,9,0,1,1,1,0,0,0,0,0,19,0,0,0,0,2,6,3,2,3,1,0,0,3,0,0,0,2,0,0,0,1,0,2,0,0,2,0,0,0,2,2,1,0,1,0,0,1,1,0,1,0,0,2,2,18,0,0,0,1,7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0
26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,20,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,36,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,0,1,0
30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,9,0,0,0,5,0,4,5,0,3,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
31,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,4,1,1,0,0,0,0,2,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,3,5,0,2,10,0,1,2,0,0,0,2,3,0,0,0,0,1,2,1,4,3,0,2,0,0,2,0,0,0,0,0,12,0,0,1,0,0,0,1,2,1,0,0,0,0,11,0,2,0,0,7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
35,0,2,2,0,6,0,1,0,0,0,2,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,10,1,0,1,4,0,0,1,0,1,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
36,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,9,0,0,2,0,4,0,1,0,0,0,2,1,0,0,2,0,1,5,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,15,3,3,0,2,0,0,1,0,0,0,0,0,0,2
38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,2,0,0,0,0,0,2,1,6,0,0,2,1,1,1,0,0,1,0,0,1,0,0,3,3,0,0,3,0,0,0,6,1,0,0,1,0,10,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40,0,0,2,0,0,0,2,0,0,1,0,1,0,1,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,4,0,13,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,2,0,0
41,0,0,5,0,0,0,0,2,1,0,0,0,2,1,0,1,1,0,0,0,4,0,1,0,0,2,2,0,1,0,1,1,0,0,4,5,8,1,1,0,1,8,4,17,0,3,1,0,2,0,3,0,0,0,12,2,0,0,1,6,3,0,0,1,1,0,3,0,0,1,0,0,0,0,8,0,0,6,2,0,0,0,2,0,16,0,2,0,0,8,6,2,1
42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2,10,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,8,1,0,1
43,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0
44,1,0,0,0,3,0,0,1,1,2,0,2,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,42,2,2,0,0,0,6,1,8,12,0,3,1,9,3,0,0,1,1,0,0,0,0,0,3,2,3,3,0,0,0,4,27,0,0,0,0,1,0,2,0,0,0,0,3,4,1,0,0,1,1,5,12,2,1,1,0,2,0,0,3,0,2,8,2
45,0,0,0,0,1,0,0,1,1,0,0,19,0,0,1,0,1,2,1,1,3,1,2,0,0,0,0,0,3,0,0,0,0,0,1,2,20,18,0,0,0,0,3,0,0,1,0,0,2,0,0,0,6,0,0,1,0,1,0,1,8,0,0,1,0,1,0,3,0,0,2,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0
46,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0,1,3,1,0,0,0,0,0,0,5,1,0,4,0,8,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,8,0,0,0,2,0,0,0,0,1,0,0
47,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,0,0,13,0,0,0,2,0,0,2,0,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0
48,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,2,0,0,13,1,0,0,1,3,1,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,7,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,1,0,0,0,15,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,6,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,1,1,1,19,0,0,0,0,10,0,0,2,1,0,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0
54,1,0,0,0,4,0,0,1,0,0,15,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,13,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,0,16,0,0,0,0,0,1,8,0,0,0,2,0,0,1,0,0
55,1,1,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,3,1,1,4,0,1,0,0,1,1,1,0,0,0,3,0
56,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,10,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,1,2,0
57,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
58,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,2,0,0,0,0,1,0,26,0,0,0,0,0,1,1,2,0,1,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
59,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,6,0,1,0,5,1,0,0,0,1,1,1,2,0,0,0,1,0,2,1,0,0,1,2,1,0,0,1,0,0,1,0,0,0,3,0,1,12,0,0,0,1,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,26,0,0,0,0
60,0,4,0,1,1,0,0,2,0,4,0,0,0,0,1,2,0,0,0,1,1,1,1,4,1,0,2,1,2,0,1,1,0,0,0,0,8,1,0,0,1,6,0,0,0,2,2,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,0,11,0,4,0,0,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
61,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,0,1,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0
63,0,1,0,1,17,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,5,0,0,1,0,1,1,0,0,0,6,0,1,1,0,1,0,0,7,0,2,1,1,2,0,1,1,0,6,0,0,0,0,9,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
64,0,1,0,0,7,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,5,0,0,1,0,0,0,1,1,0,0,15,2,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,12,0,6,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
65,2,0,0,0,9,0,1,0,1,0,1,0,0,0,19,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,7,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,1,4,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
66,1,23,2,0,0,0,2,0,3,4,0,0,10,0,2,1,0,0,2,2,6,6,4,2,0,0,2,0,0,0,0,7,0,0,1,0,0,5,0,0,1,3,2,3,0,11,9,0,2,10,0,30,0,0,0,0,0,3,2,40,1,3,9,1,11,6,2,0,0,0,10,0,0,2,6,0,0,16,2,2,0,0,0,2,0,0,0,0,4,0,0,10,0
67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,7,5,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0
69,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,1,2,0,0,1,1,0,0,1,3,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0
